"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Boris Johnson ","@BorisJohnson","Conservative","Uxbridge and South Ruislip",3591073,796
"Jeremy Corbyn ","@jeremycorbyn","Independent","Islington North",2441019,370
"Keir Starmer ","@Keir_Starmer","Labour","Holborn and St Pancras",1115588,-21
"Theresa May ","@theresa_may","Conservative","Maidenhead",996872,-31
"Edward Miliband ","@Ed_Miliband","Labour","Doncaster North",768781,-48
"David Lammy ","@DavidLammy","Labour","Tottenham",733268,17
"Caroline Lucas ","@CarolineLucas","Green Party","Brighton, Pavilion",508966,80
"Rishi Sunak","@RishiSunak","Conservative","Richmond (Yorks)",476860,90
"Jess Phillips ","@jessphillips","Labour","Birmingham, Yardley",442740,107
"Matthew Hancock ","@MattHancock","Conservative","West Suffolk",436790,-19
"Jacob Rees-Mogg ","@Jacob_Rees_Mogg","Conservative","North East Somerset",433778,3
"Diane Abbott ","@HackneyAbbott","Labour","Hackney North and Stoke Newington",378692,62
"Priti Patel ","@pritipatel","Conservative","Witham",345237,116
"Dominic Raab","@DominicRaab","Conservative","Esher and Walton",331750,67
"Yvette Cooper ","@YvetteCooperMP","Labour","Normanton, Pontefract and Castleford",320763,25
"John McDonnell ","@johnmcdonnellMP","Labour","Hayes and Harlington",295969,40
"Angela Rayner ","@AngelaRayner","Labour","Ashton-under-Lyne",292776,68
"Tim Farron","@timfarron","Liberal Democrat","Westmorland and Lonsdale",280434,-8
"Sajid Javid ","@sajidjavid","Conservative","Bromsgrove",248875,160
"Dawn Butler ","@DawnButlerBrent","Labour","Brent Central",230334,43
"Michael Gove ","@michaelgove","Conservative","Surrey Heath",225102,33
"Jeremy Hunt ","@Jeremy_Hunt","Conservative","South West Surrey",222419,1
"Emily Thornberry ","@EmilyThornberry","Labour","Islington South and Finsbury",216199,14
"Lisa Nandy ","@lisanandy","Labour","Wigan",216148,84
"Mhairi Black ","@MhairiBlack","Scottish National Party","Paisley and Renfrewshire South",195741,10
"Dr Rosena Allin-Khan ","@DrRosena","Labour","Tooting",189261,-4
"Rebecca Long-Bailey","@RLong_Bailey","Labour","Salford and Eccles",185587,7
"Zarah Sultana","@zarahsultana","Labour","Coventry South",181440,124
"Harriet Harman QC ","@HarrietHarman","Labour","Camberwell and Peckham",181081,-7
"David Davis ","@DavidDavisMP","Conservative","Haltemprice and Howden",176514,26
"Hilary Benn ","@hilarybennmp","Labour","Leeds Central",163465,0
"Tulip Siddiq ","@TulipSiddiq","Labour","Hampstead and Kilburn",160205,15
"Stella Creasy ","@stellacreasy","Labour","Walthamstow",143921,3
"Richard Burgon ","@RichardBurgon","Labour","Leeds East",142211,90
"Grant Shapps ","@grantshapps","Conservative","Welwyn Hatfield",140640,66
"Elizabeth Truss ","@trussliz","Conservative","South West Norfolk",123494,41
"Andrea Leadsom ","@andrealeadsom","Conservative","South Northamptonshire",123021,12
"Steven Baker ","@SteveBakerHW","Conservative","Wycombe",113572,40
"Joanna Cherry QC ","@joannaccherry","Scottish National Party","Edinburgh South West",112262,-3
