full_code,short_code,name,name_cy,slug,gss_code,three_code,nation,region,con_type,electorate,area,density,center_lat,center_lon,"lat,lon"
uk.org.mysociety.cons.ukparl.2025.baf,UKPARL.2025.BAF,Broadland and Fakenham,,broadland-and-fakenham,E14001136,BAF,England,Eastern,county,72907,720.7729176,101.1511368,52.74069504,1.192006171,"52.740695042307,1.19200617112541"
uk.org.mysociety.cons.ukparl.2025.gym,UKPARL.2025.GYM,Great Yarmouth,,great-yarmouth,E14001256,GYM,England,Eastern,county,70077,182.55548,383.8668661,52.64071397,1.661393277,"52.6407139684535,1.66139327686272"
uk.org.mysociety.cons.ukparl.2025.nnf,UKPARL.2025.NNF,North Norfolk,,north-norfolk,E14001396,NNF,England,Eastern,county,70719,792.7839681,89.20336794,52.853335,1.243182039,"52.8533350036626,1.24318203942898"
uk.org.mysociety.cons.ukparl.2025.mnf,UKPARL.2025.MNF,Mid Norfolk,,mid-norfolk,E14001365,MNF,England,Eastern,county,71060,838.9939049,84.69668204,52.629226,0.9205931534,"52.6292259974449,0.920593153365756"
uk.org.mysociety.cons.ukparl.2025.swn,UKPARL.2025.SWN,South West Norfolk,,south-west-norfolk,E14001497,SWN,England,Eastern,county,72496,1160.870781,62.44967243,52.55729632,0.5622003033,"52.5572963192139,0.562200303314303"
uk.org.mysociety.cons.ukparl.2025.nwn,UKPARL.2025.NWN,North West Norfolk,,north-west-norfolk,E14001405,NWN,England,Eastern,county,75200,910.2897586,82.61105795,52.82214367,0.5145140467,"52.8221436672635,0.514514046684001"
uk.org.mysociety.cons.ukparl.2025.nec,UKPARL.2025.NEC,North East Cambridgeshire,,north-east-cambridgeshire,E14001390,NEC,England,Eastern,county,70806,547.3553974,129.3601933,52.56284099,0.06077131021,"52.5628409907241,0.0607713102125756"
uk.org.mysociety.cons.ukparl.2025.eec,UKPARL.2025.EEC,Ely and East Cambridgeshire,,ely-and-east-cambridgeshire,E14001224,EEC,England,Eastern,county,76279,727.1574611,104.9002507,52.33711959,0.2809006205,"52.3371195927512,0.280900620491482"
uk.org.mysociety.cons.ukparl.2025.scb,UKPARL.2025.SCB,South Cambridgeshire,,south-cambridgeshire,E14001481,SCB,England,Eastern,county,75484,588.9495142,128.1671827,52.12593054,0.1154938486,"52.1259305408988,0.115493848629204"
uk.org.mysociety.cons.ukparl.2025.cbg,UKPARL.2025.CBG,Cambridge,,cambridge,E14001149,CBG,England,Eastern,borough,72560,32.34829504,2243.085761,52.20405926,0.1261343006,"52.2040592625264,0.126134300576205"
uk.org.mysociety.cons.ukparl.2025.snc,UKPARL.2025.SNC,St Neots and Mid Cambridgeshire,,st-neots-and-mid-cambridgeshire,E14001512,SNC,England,Eastern,county,74699,349.92019,213.4743925,52.24269726,-0.07270462119,"52.2426972614772,-0.0727046211891505"
uk.org.mysociety.cons.ukparl.2025.htd,UKPARL.2025.HTD,Huntingdon,,huntingdon,E14001298,HTD,England,Eastern,county,75590,591.0782404,127.884931,52.35733512,-0.2226216655,"52.3573351224903,-0.222621665500595"
uk.org.mysociety.cons.ukparl.2025.nwc,UKPARL.2025.NWC,North West Cambridgeshire,,north-west-cambridgeshire,E14001401,NWC,England,Eastern,county,73556,388.2505946,189.4549578,52.53814981,-0.2824686651,"52.5381498128774,-0.282468665105667"
uk.org.mysociety.cons.ukparl.2025.pbo,UKPARL.2025.PBO,Peterborough,,peterborough,E14001425,PBO,England,Eastern,county,72273,172.3857533,419.2515832,52.61694594,-0.1581956508,"52.6169459382879,-0.158195650826225"
uk.org.mysociety.cons.ukparl.2025.nbd,UKPARL.2025.NBD,North Bedfordshire,,north-bedfordshire,E14001384,NBD,England,Eastern,county,76319,584.8362393,130.4963593,52.17370992,-0.4138352656,"52.1737099199061,-0.413835265621518"
